_id,author_details,title,isbn,publisher,date_published,rating,read,series_details,pages,notes,list_price,format,description,genre,language,date_added,last_update_date,book_uuid
94,"Bacigalupi, Paolo","Windup Girl, The",9781597808217,Night Shade Books,2015-05-05,0,0,,480,,,Paperback,"Anderson Lake is AgriGen’s Calorie Man, sent to work undercover as a factory manager in Thailand while combing Bangkok’s street markets in search of foodstuffs thought to be extinct, hoping to reap the bounty of history’s lost calories.<br /><br />Emiko is the Windup Girl, a strange and beautiful creature. Emiko is not human; she is an engineered being, grown and programmed to satisfy the decadent whims of a Kyoto businessman, but now abandoned to the streets of Bangkok. Regarded as soulless beings by some, devils by others, New People are slaves, soldiers, and toys of the rich in this chilling near future in which calorie companies rule the world, the oil age has passed, and the side effects of bio-engineered plagues run rampant across the globe.<br /><br />What happens when calories become currency? What happens when bio-terrorism becomes a tool for corporate profits and forces mankind to the cusp of post-human evolution? Bacigalupi delivers one of the most highly-acclaimed science fiction novels of the twenty-first century.<br /><br />In this brand new edition celebrating the book’s reception into the canon of celebrated modern science fiction, accompanying the text are two novelettes exploring the dystopian world of <i>The Windup Girl</i>, the Theodore Sturgeon Award-winning “The Calorie Man” and “Yellow Card Man.” Also included is an exclusive Q&amp;A with the author describing his writing process, the political climate into which his debut novel was published, and the future of science fiction.<br />",Fiction / Dystopian,,2017-10-16 1:26:05,2017-10-16 1:26:05,6ae9fc545eb65e355c7083fc9170b747
95,"Barlow, Toby",Sharp Teeth,9780061430244,Harper Perennial,2009-01-27,0,0,,336,,,Paperback,"An ancient race of lycanthropes has survived to the present day, and its numbers are growing. Bent on dominance, rival factions are initiating the down-and-out of L.A. into their ranks. Caught in the middle are Anthony, a kindhearted, lovesick dogcatcher, and the object of his affection: a female werewolf who has abandoned her pack.",,,2017-10-16 1:26:25,2017-10-16 1:26:25,283b4bd57df4ea816bb43ac2ccfcd761
96,"Bellow, Saul",Seize the Day,9780140072853,Penguin Books,1984-04-03,0,0,Penguin Great Books of the 20th Century,118,,10.95,Paperback,"A moving portrait of one day in the life of Tommy Wilhelm, a man on the brink of despair.<br /><br />""What makes all of this so remarkable is not merely Bellow's eye and ear for vital detail. Nor is it his talent for exposing the innards of character in a paragraph, a sentence, a phrase. It is Bellow's vision, his uncanny ability to seize the moment and to see beyond it."" —<i>Chicago Sun-Times</i><br /><br />""He argues the tranquil decencies of truth and compassion."" —<i>The Times</i> (London)<br /><br />""Bellow seems more suited by temperament and ability than any writer of his generation to create for America 'the uncreated conscience' of modern man."" —<i>The New Republic</i><br /><br />""One of the finest short novels in the language, marvelously compact, dense, and alive."" —<i>The Guardian</i>",,English,2017-10-16 1:26:44,2017-10-16 1:26:44,6f7026c86684af4ccf9039cf7da2f7dd
97,"Bellow, Saul",Henderson the Rain King,380008327,Avon Books,1976-11-01,0,0,,286,,,Paperback,"Bellow's glorious, spirited story of an eccentric American millionaire who finds a home of sorts in deepest Africa.",Fiction / Literary,English,2017-10-16 1:27:45,2017-10-16 1:27:45,92e1dbbcd1e6f9856d175d63add22e0d
98,"Bradbury, Ray",Fahrenheit 451,345342968,Del Rey / Ballantine Books,2003,0,0,,190,,,Mass Market Paperback,"<i>The system was simple. Everyone understood it. Books were for burning, along with the houses in which they were hidden.</i><br /><br />Guy Montag was a fireman whose job it was to start fires. And he enjoyed his job. He had been a fireman for ten years, and he had never questioned the pleasure of the midnight runs or the joy of watching pages consumed by flames, never questioned anything until he met a seventeen-year-old girl who told him of a past when people were not afraid. Then Guy met a professor who told him of a future in which people could think. And Guy Montag suddenly realized what he had to do...",Fiction / Science Fiction / General,English,2017-10-16 1:42:41,2017-10-16 1:42:41,0664202351dab4d89a43ff4ee2e3c34f
99,"Bradley, Marion Zimmer","Mists of Avalon, The",345350499,Ballantine Books,1984-04-12,0,0,Avalon (1)|Avalon: Chronological Order (7),876,,18,Paperback,"A Literary Guild Featured Alternate<br />Here is the magical legend of King Arthur, vividly retold through the eyes and lives of the women who wielded power from behind the throne. A spellbinding novel, an extraordinary literary achievement, THE MISTS OF AVALON will stay with you for a long time to come....",Fiction / Historical,English,2017-10-16 1:43:28,2017-10-16 1:43:28,3ec1c54bd9902a365e130429273b4119
100,"Brooks, Max",World War Z: An Oral History of the Zombie War,9780307346612,Three Rivers Press,2007-10-16,0,0,,342,,16,Paperback,"The Zombie War came unthinkably close to eradicating humanity. Max Brooks, driven by the urgency of preserving the acid-etched first-hand experiences of the survivors from those apocalyptic years, traveled across the United States of America and throughout the world, from decimated cities that once teemed with upwards of thirty million souls to the most remote and inhospitable areas of the planet. He recorded the testimony of men, women, and sometimes children who came face-to-face with the living, or at least the undead, hell of that dreadful time. ""World War Z"" is the result. Never before have we had access to a document that so powerfully conveys the depth of fear and horror, and also the ineradicable spirit of resistance, that gripped human society through the plague years. <br /><br /> Ranging from the now infamous village of New Dachang in the United Federation of China, where the epidemiological trail began with the twelve-year-old Patient Zero, to the unnamed northern forests where untold numbers sought a terrible and temporary refuge in the cold, to the United States of Southern Africa, where the Redeker Plan provided hope for humanity at an unspeakable price, to the west-of-the-Rockies redoubt where the North American tide finally started to turn, this invaluable chronicle reflects the full scope and duration of the Zombie War. <br /><br /> Most of all, the book captures with haunting immediacy the human dimension of this epochal event. Facing the often raw and vivid nature of these personal accounts requires a degree of courage on the part of the reader, but the effort is invaluable because, as Mr. Brooks says in his introduction, ""By excluding the human factor, aren't we risking the kind of personal detachment from history that may, heaven forbid, lead us one day to repeat it? And in the end, isn't the human factor the only true difference between us and the enemy we now refer to as 'the living dead'?"" <br /><br /> Note: Some of the numerical and factual material contained in this edition was previously published under the auspices of the United Nations Postwar Commission. Eyewitness reports from the first truly global war: <br /><br /> ""I found 'Patient Zero' behind the locked door of an abandoned apartment across town. . . . His wrists and feet were bound with plastic packing twine. Although he'd rubbed off the skin around his bonds, there was no blood. There was also no blood on his other wounds. . . . He was writhing like an animal; a gag muffled his growls. At first the villagers tried to hold me back. They warned me not to touch him, that he was 'cursed.' I shrugged them off and reached for my mask and gloves. The boy's skin was . . . cold and gray . . . I could find neither his heartbeat nor his pulse."" -- Dr. Kwang Jingshu, Greater Chongqing, United Federation of China<br /><br />""'Shock and Awe'? Perfect name. . . . But what if the enemy can't be shocked and awed? Not just won't, but biologically can't That's what happened that day outside New York City, that's the failure that almost lost us the whole damn war. The fact that we couldn't shock and awe Zack boomeranged right back in our faces and actually allowed Zack to shock and awe us They're not afraid No matter what we do, no matter how many we kill, they will never, ever be afraid "" -- Todd Wainio, former U.S. Army infantryman and veteran of the Battle of Yonkers<br /><br />""Two hundred million zombies. Who can even visualize that type of number, let alone combat it? . . . For the first time in history, we faced an enemy that was actively waging total war. They had no limits of endurance. They would never negotiate, never surrender. They would fight until the very end because, unlike us, every single one of them, every second of every day, was devoted to consuming all life on Earth."" -- General Travis D'Ambrosia, Supreme Allied Commander, Europe",Fiction / Thrillers / General,English,2017-10-16 1:45:06,2017-10-16 1:45:06,82cac916bfd42d6947ce313a71785be9
101,"Auster, Paul",In the Country of Last Things,9780140097054,Penguin Books,1988-05-02,0,0,,188,,16,Paperback,"In a distant and unsettling future, Anna Blume is on a mission in an unnamed city of chaos and disaster. Its destitute inhabitants scavenge garbage for food and shelter, no industry exists, and an elusive government provides nothing but corruption. Anna wades through the filth to find her long-lost brother, a one-time journalist who may or may not be alive. <i>New York </i>Times-bestselling author Paul Auster (<i>The New York Trilogy)</i> shows us a disturbing Hobbesian society in this dystopian, post-apocalyptic novel.",Fiction / Literary,English,2017-10-16 1:47:53,2017-10-16 1:47:53,7dfc5f739cd8a2b73c9ad7e6b2536147
102,"Atwood, Margaret",Alias Grace,9780385475716,Doubleday Nan A. Talese,1996-11-01,0,0,,468,,24.95,Hardcover,"Grace Marks has been convicted for her involvement in the vicious murders of her employer Thomas Kinnear and Nancy Montgomery, his housekeeper and mistress. Some believe Grace is innocent; others think her evil or insane. Now serving a life sentence, Grace claims to have no memory of the murders.<br /><br />Dr. Simon Jordan, an up-and-coming expert in the burgeoning field of mental illness, is engaged by a group of reformers and spiritualists who seek a pardon for Grace. He listens to her story while bringing her closer and closer to the day she cannot remember. What will he find in attempting to unlock her memories? Is Grace a female fiend? A bloodthirsty femme fatale? Or is she the victim of circumstances?",Fiction / Historical,English,2017-10-16 1:48:09,2017-10-16 1:48:09,e7a536acf91ed3703987eecf5d796ea0
103,"Kafka, Franz|Glatzer, Nahum N.|Updike, John|Muir, Willa|Muir, Edwin|Stern, Tania|Stern, James|Kaiser, Ernst|Wilkins, Eithne","Complete Stories, The",9780805210552,Schocken,1995-11-14,0,0,,486,,,Paperback,"The Complete Stories brings together all of Kafka’s stories, from the classic tales such as “The Metamorphosis,” “In the Penal Colony,” and “A Hunger Artist” to shorter pieces and fragments that Max Brod, Kafka’s literary executor, released after Kafka’s death. With the exception of his three novels, the whole of Kafka’s narrative work is included in this volume. <br />--penguinrandomhouse.com<br /><br />Two Introductory parables: Before the law --<br />Imperial message --<br />Longer stories: Description of a struggle --<br />Wedding preparations in the country --<br />Judgment --<br />Metamorphosis --<br />In the penal colony --<br />Village schoolmaster (The giant mole) --<br />Blumfeld, and elderly bachelor --<br />Warden of the tomb --<br />Country doctor --<br />Hunter Gracchus --<br />Hunter Gracchus: A fragment --<br />Great Wall of China --<br />News of the building of the wall: A fragment --<br />Report to an academy --<br />Report to an academy: Two fragments --<br />Refusal --<br />Hunger artist --<br />Investigations of a dog --<br />Little woman --<br />The burrow --<br />Josephine the singer, or the mouse folk --<br />Children on a country road --<br />The trees --<br />Clothes --<br />Excursion into the mountains --<br />Rejection --<br />The street window --<br />The tradesman --<br />Absent-minded window-gazing --<br />The way home --<br />Passers-by --<br />On the tram --<br />Reflections for gentlemen-jockeys --<br />The wish to be a red Indian --<br />Unhappiness --<br />Bachelor's ill luck --<br />Unmasking a confidence trickster --<br />The sudden walk --<br />Resolutions --<br />A dream --<br />Up in the gallery --<br />A fratricide --<br />The next village --<br />A visit to a mine --<br />Jackals and Arabs --<br />The bridge --<br />The bucket rider --<br />The new advocate --<br />An old manuscript --<br />The knock at the manor gate --<br />Eleven sons --<br />My neighbor --<br />A crossbreed (A sport) --<br />The cares of a family man --<br />A common confusion --<br />The truth about Sancho Panza --<br />The silence of the sirens --<br />Prometheus --<br />The city coat of arms --<br />Poseidon --<br />Fellowship --<br />At night --<br />The problem of our laws --<br />The conscripton of troops --<br />The test --<br />The vulture --<br />The helmsman --<br />The top --<br />A little fable --<br />Home-coming --<br />First sorrow --<br />The departure --<br />Advocates --<br />The married couple --<br />Give it up! --<br />On parables.",Fiction / Short Stories (single author),,2017-10-16 1:50:39,2017-10-16 1:50:39,d90ffa8ffd843cba013b858f340734a1
